group,symbol,size,outer_d_mm,inner_d_mm,thickness_mm,SWD_mm,LWD_mm,unit,length_m,weight,note,列1,列2
配管用鋼管(SGP/STPG),SGP,400A,406.4,390.6,7.9,,,bar,5.5,77.6,,,
,,,,,,,,,,,,,
丸棒,MC,φ6,,,,,,bar,,0.22,JIS 一般構造用,,
丸棒,MC,φ9,,,,,,bar,,0.5,JIS 一般構造用,,
丸棒,MC,φ12,,,,,,bar,,0.88,JIS 一般構造用,,
丸棒,MC,φ13,,,,,,bar,,1.04,JIS 一般構造用,,
丸棒,MC,φ16,,,,,,bar,,1.58,JIS 一般構造用,,
丸棒,MC,φ19,,,,,,bar,,2.23,JIS 一般構造用,,
丸棒,MC,φ22,,,,,,bar,,2.98,JIS 一般構造用,,
丸棒,MC,φ25,,,,,,bar,,3.85,JIS 一般構造用,,
丸棒,MC,φ28,,,,,,bar,,4.83,JIS 一般構造用,,
丸棒,MC,φ32,,,,,,bar,,6.31,JIS 一般構造用,,
丸棒,MC,φ36,,,,,,bar,,7.99,JIS 一般構造用,,
丸棒,MC,φ38,,,,,,bar,,8.9,JIS 一般構造用,,
丸棒,MC,φ42,,,,,,bar,,10.9,JIS 一般構造用,,
丸棒,MC,φ44,,,,,,bar,,11.9,JIS 一般構造用,,
丸棒,MC,φ46,,,,,,bar,,13,JIS 一般構造用,,
丸棒,MC,φ48,,,,,,bar,,14.2,JIS 一般構造用,,
丸棒,MC,φ50,,,,,,bar,,15.4,JIS 一般構造用,,
丸棒,MC,φ55,,,,,,bar,,18.7,JIS 一般構造用,,
丸棒,MC,φ60,,,,,,bar,,22.2,JIS 一般構造用,,
丸棒,MC,φ65,,,,,,bar,,26,JIS 一般構造用,,
丸棒,MC,φ70,,,,,,bar,,30.2,JIS 一般構造用,,
丸棒,MC,φ75,,,,,,bar,,34.7,JIS 一般構造用,,
丸棒,MC,φ80,,,,,,bar,,39.5,JIS 一般構造用,,
丸棒,MC,φ85,,,,,,bar,,44.5,JIS 一般構造用,,
丸棒,MC,φ90,,,,,,bar,,49.5,JIS 一般構造用,,
丸棒,MC,φ95,,,,,,bar,,55.6,JIS 一般構造用,,
丸棒,MC,φ100,,,,,,bar,,61.7,JIS 一般構造用,,
丸棒,MC,φ110,,,,,,bar,,74.6,JIS 一般構造用,,
丸棒,MC,φ120,,,,,,bar,,88.8,JIS 一般構造用,,
丸棒,MC,φ130,,,,,,bar,,104,JIS 一般構造用,,
丸棒,MC,φ150,,,,,,bar,,139,JIS 一般構造用,,
,,,,,,,,,,,,,
